SEGID,LANGPAIR,ANNOTYPE,BINLABEL,MEANSCORE,NUMANNOT
1,ko-en,bl,True,-0.290334191356307,10
2,ko-en,bl,True,0.818955879481954,10
3,ko-en,bl,True,-0.22567687221223873,10
4,ko-en,bl,True,1.0378379980352517,10
5,ko-en,bl,True,1.1269728654691658,10
6,ko-en,bl,True,0.7991368403962631,10
7,ko-en,bl,True,0.6792701366904942,10
8,ko-en,bl,True,0.9743639876764512,10
9,ko-en,bl,False,-1.2794344133796696,10
10,ko-en,bl,False,-0.7554229244711167,10
11,ko-en,bl,True,0.5867621075630054,10
12,ko-en,bl,True,1.028616524780284,10
13,ko-en,bl,True,0.9387955435197481,10
14,ko-en,bl,True,0.872445604053663,10
15,ko-en,bl,True,1.0018262474426645,10
16,ko-en,bl,False,-0.6378224397496053,10
17,ko-en,bl,True,-0.5146270054470821,10
18,ko-en,bl,False,-1.020508404428672,10
19,ko-en,bl,True,0.48565096532205027,10
20,ko-en,bl,True,0.9601017834863003,10
21,ko-en,bl,True,0.1906565290788547,10
22,ko-en,bl,True,0.25153540977419714,10
23,ko-en,bl,False,-1.1118536691885024,10
24,ko-en,bl,True,0.868993375706048,10
25,ko-en,bl,True,0.6068108887470338,10
26,ko-en,bl,True,1.016307901013336,10
27,ko-en,bl,True,0.3835427763069451,10
28,ko-en,bl,True,0.21159749072863257,10
29,ko-en,bl,True,0.3101510772287708,10
30,ko-en,bl,True,0.41763166124695594,10
31,ko-en,bl,True,0.056927723984637704,10
32,ko-en,bl,True,-0.30429660129575264,10
33,ko-en,bl,True,0.6443896102010618,10
34,ko-en,bl,False,-0.773150388809809,10
35,ko-en,bl,True,1.1188967203405547,10
36,ko-en,bl,True,0.5131101465338376,10
37,ko-en,bl,True,1.034925164023106,10
38,ko-en,bl,True,1.0695565656372825,10
39,ko-en,bl,True,-0.006984195807227955,10
40,ko-en,bl,True,0.28823192389698804,10
41,ko-en,bl,True,1.093594537718272,10
42,ko-en,bl,True,1.1212571494493322,10
43,ko-en,bl,True,0.34971361975835863,10
44,ko-en,bl,False,-1.0062281386942549,10
45,ko-en,bl,True,0.7430481220067184,10
46,ko-en,bl,True,-0.14830078477096903,10
47,ko-en,bl,True,1.016256029739022,10
48,ko-en,bl,True,0.22605859641017828,10
49,ko-en,bl,True,0.13211625458365656,10
50,ko-en,bl,True,-0.05615383395128426,10
51,ko-en,bl,False,-0.7839166965791982,10
52,ko-en,bl,True,0.4783658271176843,10
53,ko-en,bl,False,-0.7599375670348884,10
54,ko-en,bl,True,1.054328915060997,10
55,ko-en,bl,True,0.9807991524360695,10
56,ko-en,bl,True,0.2952544067823343,10
57,ko-en,bl,True,-0.011317887120825399,10
58,ko-en,bl,True,0.021547389455828993,10
59,ko-en,bl,False,-0.6699022026102954,10
60,ko-en,bl,False,-1.0069957532954685,10
61,ko-en,bl,True,0.7506202247523888,10
62,ko-en,bl,True,-0.11954767516653642,10
63,ko-en,bl,True,-0.05433258195708697,10
64,ko-en,bl,False,-0.5481290987058804,10
65,ko-en,bl,True,-0.295053666048955,10
66,ko-en,bl,True,0.8160492420460683,10
67,ko-en,bl,True,1.05868230940524,10
68,ko-en,bl,True,0.06945383208947833,10
69,ko-en,bl,False,-0.736238644409249,10
70,ko-en,bl,False,-1.1223521495388318,10
71,ko-en,bl,True,0.82068860949044,10
72,ko-en,bl,True,0.21138207525575106,10
73,ko-en,bl,True,0.09307338862709383,10
74,ko-en,bl,False,-0.7935934745453119,10
75,ko-en,bl,True,0.7063832808373611,10
76,ko-en,bl,True,0.6084614283363619,10
77,ko-en,bl,False,-0.9756412530110886,10
78,ko-en,bl,True,0.6581289188364526,10
79,ko-en,bl,False,-1.080329431056652,10
80,ko-en,bl,False,-0.6229376837428982,10
81,ko-en,bl,True,0.06269127547829974,10
82,ko-en,bl,True,0.4990552629412681,10
83,ko-en,bl,True,0.8698942880185478,10
84,ko-en,bl,True,0.7848387436953143,10
85,ko-en,bl,True,0.08351962915173738,10
86,ko-en,bl,True,-0.28302652511641985,10
87,ko-en,bl,False,-0.8338585942879213,10
88,ko-en,bl,False,-0.9426508769356658,10
89,ko-en,bl,True,-0.24514730480003308,10
90,ko-en,bl,False,-0.9538548391399685,10
91,ko-en,bl,True,-0.34263016887630326,10
92,ko-en,bl,False,-1.2006446390424632,10
93,ko-en,bl,True,0.5651482941212871,10
94,ko-en,bl,False,-1.0726577965459798,10
95,ko-en,bl,False,-0.46581887421818013,10
96,ko-en,bl,True,-0.057855563064958315,10
97,ko-en,bl,False,-0.8683713720957865,10
98,ko-en,bl,True,0.7122804262359728,10
99,ko-en,bl,False,-0.7968565329356863,10
100,ko-en,bl,False,-0.7423682699628851,10
101,ko-en,bl,True,0.7560593368005091,10
102,ko-en,bl,False,-0.6746157435531466,10
103,ko-en,bl,True,0.08011117252933757,10
104,ko-en,bl,False,-0.6859249060397385,10
105,ko-en,bl,True,0.39023671360819323,10
106,ko-en,bl,False,-0.9418166868638401,10
107,ko-en,bl,True,-0.42347956530852116,10
108,ko-en,bl,False,-0.29093734135621646,10
109,ko-en,bl,True,0.840125733712361,10
110,ko-en,bl,True,-0.17466975525198616,10
111,ko-en,bl,True,-0.12019754767271382,10
112,ko-en,bl,False,-1.074238436347891,10
113,ko-en,bl,True,0.42977606678815317,10
114,ko-en,bl,True,0.36495384095156497,10
115,ko-en,bl,False,-0.9949753654952047,10
116,ko-en,bl,False,-1.2854422769394904,10
117,ko-en,bl,False,-0.6213392629476239,10
118,ko-en,bl,False,-1.4376528052264448,10
119,ko-en,bl,True,0.5941937593626885,10
120,ko-en,bl,False,-1.6898117219794415,10
121,ko-en,bl,False,-0.881255784581094,10
122,ko-en,bl,True,-0.37811960385392346,10
123,ko-en,bl,True,0.6700855151930931,10
124,ko-en,bl,True,1.2293561420855759,10
125,ko-en,bl,False,-1.2121062891888879,10
126,ko-en,bl,False,-0.6375551346687847,10
127,ko-en,bl,True,1.049555717430561,10
128,ko-en,bl,True,0.5878365094244662,10
129,ko-en,bl,False,-0.897240933575213,10
130,ko-en,bl,True,-0.2607478553325578,10
131,ko-en,bl,True,0.4713297919523208,10
132,ko-en,bl,True,0.8324150974571636,10
133,ko-en,bl,True,-0.19401040637690417,10
134,ko-en,bl,True,0.12319652055198907,10
135,ko-en,bl,True,0.47356478027824817,10
136,ko-en,bl,True,0.9021062063819917,10
137,ko-en,bl,True,0.18436121153103807,10
138,ko-en,bl,True,0.5307705738769949,10
139,ko-en,bl,False,-1.3154454954583088,10
140,ko-en,bl,True,0.7724203361531718,10
141,ko-en,bl,False,-0.7310766055189195,10
142,ko-en,bl,True,0.0780629648437912,10
143,ko-en,bl,True,1.0624649253608383,10
144,ko-en,bl,True,0.15373853599842593,10
145,ko-en,bl,False,-0.5366281313745349,10
146,ko-en,bl,True,0.6490764909568982,10
147,ko-en,bl,False,-0.9341965237863485,10
